swim pool;1
pool;1
swim;1
stainless;2
stainless steel;2
steel;2
substanti portion;3
substanti;3
upstream end;4
upstream;4
trail end;5
trail;5
piezoelectr element;6
piezoelectr;6
acut angl;7
acut;7
pigment;8
dna;8
nitrogen atom;8
titanium;8
-c.sub.4 alkyl;8
rubber composit;8
posit thereof;8
foreign matter;8
much;8
doubl bond;8
acid addit;8
use vehicl;8
aqueou composit;8
composit use;8
chain;8
process data;8
catalyt;8
aromat hydrocarbon;8
crosslink agent;8
acid solut;8
alkoxi group;8
by-product;8
silic;8
materi method;8
r.sub.2 hydrogen;8
composit materi;8
sand;8
6-member;8
medic;8
reactiv;8
r.sup.9;8
r.sup.8;8
r.sup.1;8
r.sup.3;8
r.sup.2;8
r.sup.5;8
r.sup.4;8
r.sup.7;8
r.sup.6;8
vessel contain;8
structur formula str1;8
affin;8
length thereof;8
polymer materi;8
unsatur;8
surgic instrument;8
protect coat;8
and/or;8
hydrogen c.sub.1 -c.sub.4;8
spectromet;8
solid electrolyt;8
use novel;8
molecular weight;8
copolym have;8
have viscos;8
contain carbon;8
composit compris;8
group capabl;8
bind;8
lower alkyl;8
resin composit compris;8
particl;8
nuclear;8
metal plate;8
polycondens;8
crack;8
r.sub.2 r.sub.3;8
problem;8
amount compound;8
structur use;8
monoclon;8
diagnos;8
gastrointestin;8
develop agent;8
novel compound;8
carbamoyl;8
cross-link agent;8
impregn;8
percentag;8
polym blend;8
injuri;8
catalyst;8
thereof process;8
gum;8
materi have;8
atom halogen;8
invent concern;8
alkoxi;8
synthesi;8
amino;8
develop;8
inflammatori;8
agglomer;8
aliphat;8
inert;8
excess;8
diol;8
aqueou;8
heavi;8
compris water;8
terephthal;8
contain such;8
solut compris;8
acryl acid;8
lower alkyl group;8
fungicid;8
fatti;8
blend;8
pharmaceut composit;8
thereof method;8
dissolv;8
filament;8
suitabl;8
tissu;8
amino acid sequenc;8
activ materi;8
synthet fiber;8
prepar react;8
surfact;8
alkylen;8
antimicrobi;8
void;8
activ matrix;8
light-sensit;8
room;8
root;8
anim;8
compris mixtur;8
vessel have;8
grind;8
polyvinyl chlorid;8
such composit;8
inact;8
fraction;8
hydroxyalkyl;8
sulfon;8
cyano;8
gel;8
fatti acid ester;8
protein;8
flavor;8
coat compris;8
halid;8
anion surfact;8
descript;8
medica;8
microorgan;8
mill;8
hour;8
nonion surfact;8
color chang;8
cyclic;8
carbonac;8
chelat;8
agricultur;8
non-tox;8
have adhes;8
synthet resin;8
carbon monoxid;8
method thereof;8
ring have;8
effluent;8
metal hydroxid;8
product thereof;8
hair;8
final product;8
herbicid;8
photograph element;8
vinyl monom;8
heat resist;8
amid;8
record materi;8
refractori metal;8
group viii;8
mixtur compris;8
pharmaceut prepar;8
adhes coat;8
low temperatur;8
ppm;8
element contain;8
polyimid;8
radic have;8
cycloalkyl group;8
group have;8
deriv process;8
extrud;8
extrus;8
polish;8
metal have;8
ingredi;8
fibrou materi;8
beverag contain;8
r.sub.2 r.sub.3 r.sub.4;8
invent compris;8
cook;8
cooh;8
styren;8
alumina;8
impervi;8
particul;8
solubl water;8
phosphoru;8
edg thereof;8
function group;8
hydroxid;8
polyol;8
compat;8
superior;8
unknown;8
catalyst compris;8
immunoassay;8
powder have;8
electrolyt solut;8
storag stabil;8
activ agent;8
lightweight;8
r.sup.2 r.sup.3;8
permeabl;8
contain contain;8
haloalkyl;8
contamin;8
yellow;8
polymer binder;8
str2 wherein;8
silver;8
reactor;8
carbon;8
unsatur monom;8
hydrophil;8
preserv;8
bed reactor;8
polyurethan foam;8
polyisocyan;8
acid addit salt;8
rare earth;8
alloy have;8
surgeri;8
wear resist;8
resin contain;8
matrix materi;8
halid emuls;8
ad;8
heterocycl group;8
accept;8
olefin;8
resin compris;8
synthet;8
compris administ;8
compris contain;8
gener formula;8
pressure-sensit;8
alkenyl group;8
r.sup.1 hydrogen;8
soft tissu;8
hydroxyl;8
drug;8
acyl;8
liquid dispens;8
polym;8
layer materi;8
degrad;8
group consist;8
have suffici;8
fragment;8
adsorpt;8
metal contact;8
have uniform;8
alkali;8
spread;8
be present;8
magnet materi;8
precipit;8
promot;8
puriti;8
nitrogen;8
mechan strength;8
halo;8
reinforc fiber;8
dna sequenc;8
singl bond;8
gener formula str1;8
medicin;8
metal oxid;8
adhes layer;8
food;8
rhodium;8
aryloxi;8
group group;8
flexibl materi;8
high strength;8
wast materi;8
repel;8
