dispth;eth;comnum;vcount;modularity
0.01;10;222;92238;0.357569955721
0.01;10;48;92238;0.360274441339
0.01;15;348;87481;0.359267978659
0.01;15;90;87481;0.361969237212
0.01;20;447;83802;0.360932058504
0.01;20;139;83802;0.36356265354
0.01;25;454;74521;0.361486806056
0.01;25;137;74521;0.364089599435
0.01;30;409;61964;0.36116225015
0.01;30;117;61964;0.363872601046
0.01;35;371;52148;0.36049839255
0.01;35;105;52148;0.363407402986
0.01;35;104;52148;0.363407497136
0.01;40;342;44631;0.360058244376
0.01;40;99;44631;0.36296055419
0.01;45;308;38880;0.359749425609
0.01;45;98;38880;0.362711051823
0.01;50;276;34417;0.359483462969
0.01;50;98;34417;0.362860437103
0.01;55;260;30748;0.35723996328
0.01;55;78;30748;0.360512090344
0.01;60;239;27789;0.359733540259
0.01;60;82;27789;0.363308056806
0.01;65;246;25333;0.356007061642
0.01;65;77;25333;0.363467126685
0.01;65;76;25333;0.363475063904
0.01;70;232;23192;0.355725068862
0.01;70;73;23192;0.363264526477
0.01;75;209;21390;0.35552156902
0.01;75;69;21390;0.363310768373
0.01;80;197;19853;0.355423132837
0.01;80;67;19853;0.363392293618
0.01;85;195;18490;0.354170235831
0.01;85;59;18490;0.359577060347
0.01;90;205;17296;0.353869794822
0.01;90;68;17296;0.35957003179
0.01;95;185;16172;0.354060125966
0.01;95;60;16172;0.359896342322
0.01;100;168;15228;0.354445138201
0.01;100;55;15228;0.360100890633
0.01;105;159;14377;0.354487333483
0.01;105;54;14377;0.360226011717
0.01;110;151;13658;0.354793881753
0.01;110;49;13658;0.360764696885
0.01;115;136;12965;0.354818673562
0.01;115;45;12965;0.361333584538
0.01;120;129;12334;0.354986721866
0.01;120;44;12334;0.361482172655
0.01;125;130;11726;0.36146916622
0.01;125;41;11726;0.366280566095
0.01;130;127;11219;0.361876864431
0.01;130;42;11219;0.366638032261
0.01;135;128;10736;0.361995774707
0.01;135;43;10736;0.366924725683
0.01;140;121;10292;0.362954084525
0.01;140;41;10292;0.367397281955
0.01;145;128;9877;0.357442415703
0.01;145;40;9877;0.363534186319
0.01;145;39;9877;0.363535420027
0.01;150;122;9464;0.356124414147
0.01;150;42;9464;0.363736176635
0.01;155;118;9104;0.356273624531
0.01;155;41;9104;0.364198580226
0.01;160;119;8759;0.356482137778
0.01;160;40;8759;0.364509853731
0.01;165;113;8428;0.35687776427
0.01;165;37;8428;0.365012498451
0.01;170;113;8121;0.356787808092
0.01;170;41;8121;0.36561525723
0.01;170;40;8121;0.365617178703
0.01;175;107;7845;0.356953872855
0.01;175;37;7845;0.365332118325
0.01;175;36;7845;0.365332470477
0.01;180;106;7601;0.357542302588
0.01;180;35;7601;0.364890825299
0.01;185;106;7369;0.361205958838
0.01;185;34;7369;0.365563340928
0.01;185;33;7369;0.365565730873
0.01;190;106;7125;0.360804357084
0.01;190;33;7125;0.366565824742
0.01;190;32;7125;0.366567592807
0.01;195;103;6886;0.35723489712
0.01;195;32;6886;0.366619989918
0.01;200;100;6698;0.361436260964
0.01;200;32;6698;0.366838123361
0.015;10;342;75034;0.444460999121
0.015;10;144;75034;0.453065740636
0.015;15;491;69979;0.452285608935
0.015;15;221;69979;0.460101054463
0.015;20;587;66289;0.455347982615
0.015;20;240;66289;0.463967171336
0.015;25;619;59025;0.457678714961
0.015;25;237;59025;0.466634601597
0.015;25;236;59025;0.466635172783
0.015;30;528;49037;0.458999216971
0.015;30;203;49037;0.467848963046
0.015;35;487;41203;0.459852091442
0.015;35;189;41203;0.468783491403
0.015;35;188;41203;0.46878460694
0.015;40;435;35109;0.460505731916
0.015;40;169;35109;0.469555775468
0.015;45;409;30457;0.460820227216
0.015;45;161;30457;0.47027821095
0.015;45;160;30457;0.47028066021
0.015;50;381;26854;0.461893692266
0.015;50;152;26854;0.471169209253
0.015;50;151;26854;0.471169555565
0.015;55;358;23931;0.460439299125
0.015;55;139;23931;0.471973694742
0.015;55;138;23931;0.471974096285
0.015;60;324;21574;0.462461037722
0.015;60;122;21574;0.473276098599
0.015;60;121;21574;0.473276607568
0.015;65;317;19608;0.462346161391
0.015;65;118;19608;0.47389642122
0.015;70;293;17917;0.464441533976
0.015;70;106;17917;0.474303879962
0.015;75;274;16460;0.463464978176
0.015;75;93;16460;0.475200843041
0.015;80;263;15253;0.464926975274
0.015;80;92;15253;0.475982202099
0.015;85;254;14193;0.46556030681
0.015;85;89;14193;0.476556593419
0.015;90;252;13242;0.466271537181
0.015;90;91;13242;0.477389747522
0.015;95;239;12369;0.467127480773
0.015;95;90;12369;0.477607895052
0.015;95;89;12369;0.478534182639
0.015;100;222;11581;0.467825429389
0.015;100;85;11581;0.479208329289
0.015;105;208;10903;0.468189218495
0.015;105;84;10903;0.479438466612
0.015;110;205;10329;0.470673867561
0.015;110;79;10329;0.480664471209
0.015;115;197;9801;0.472513487424
0.015;115;71;9801;0.481660808243
0.015;120;189;9279;0.473221230035
0.015;120;65;9279;0.482153302558
0.015;125;181;8829;0.473381108022
0.015;125;64;8829;0.482717207667
0.015;130;175;8444;0.474303513411
0.015;130;64;8444;0.483682749324
0.015;135;169;8064;0.473268980864
0.015;135;63;8064;0.483606699481
0.015;135;62;8064;0.484042820738
0.015;140;170;7724;0.47342984628
0.015;140;62;7724;0.484168812565
0.015;140;61;7724;0.484632510692
0.015;145;170;7403;0.473957753608
0.015;145;61;7403;0.484876202471
0.015;145;60;7403;0.484956706789
0.015;150;166;7081;0.474253845658
0.015;150;60;7081;0.485270644008
0.015;150;59;7081;0.485353991487
0.015;155;166;6795;0.476872107407
0.015;155;58;6795;0.486210075134
0.015;160;162;6512;0.474800221561
0.015;160;54;6512;0.487103674623
0.015;165;154;6268;0.474822275344
0.015;165;49;6268;0.486838791138
0.015;165;48;6268;0.487597024432
0.015;170;147;6039;0.476518462258
0.015;170;54;6039;0.487873188629
0.015;175;139;5829;0.477421681252
0.015;175;54;5829;0.487936628416
0.015;175;52;5829;0.488569770511
0.015;180;138;5654;0.476901503746
0.015;180;51;5654;0.487941019988
0.015;180;50;5654;0.487955862515
0.015;185;144;5470;0.476776848408
0.015;185;52;5470;0.489368781548
0.015;185;51;5470;0.489441207963
0.015;190;139;5285;0.477672675867
0.015;190;50;5285;0.489830731053
0.015;195;133;5106;0.47910208976
0.015;195;48;5106;0.490493546503
0.015;200;128;4969;0.480005901117
0.015;200;43;4969;0.491729406415
0.02;10;380;65277;0.487310408039
0.02;10;133;65277;0.498124943647
0.02;10;132;65277;0.498125460493
0.02;15;527;59917;0.496923846174
0.02;15;188;59917;0.506069193658
0.02;15;186;59917;0.506594268825
0.02;20;669;56111;0.500737931793
0.02;20;239;56111;0.512509089876
0.02;25;687;49765;0.504022213048
0.02;25;248;49765;0.515549615292
0.02;25;247;49765;0.515549867123
0.02;30;607;41430;0.506160072216
0.02;30;227;41430;0.51681689432
0.02;30;225;41430;0.51693737282
0.02;35;552;34746;0.504046574702
0.02;35;212;34746;0.516978487205
0.02;35;211;34746;0.517045642917
0.02;40;499;29495;0.506355343798
0.02;40;185;29495;0.521073406571
0.02;40;183;29495;0.521523742588
0.02;45;454;25582;0.507175980312
0.02;45;178;25582;0.519952143081
0.02;45;175;25582;0.520045215761
0.02;50;402;22563;0.508024720061
0.02;50;171;22563;0.520995964233
0.02;50;167;22563;0.521166734199
0.02;55;381;20070;0.50865717732
0.02;55;148;20070;0.521870689309
0.02;55;147;20070;0.521873485372
0.02;60;328;18071;0.510628146922
0.02;60;139;18071;0.521373577975
0.02;60;137;18071;0.52173046675
0.02;65;322;16386;0.501196523277
0.02;65;131;16386;0.516703561541
0.02;65;128;16386;0.517385965308
0.02;70;304;14943;0.502761773375
0.02;70;119;14943;0.518459763604
0.02;70;117;14943;0.51877193216
0.02;75;287;13707;0.512376560536
0.02;75;105;13707;0.52383368691
0.02;80;285;12707;0.512965800457
0.02;80;107;12707;0.524654289528
0.02;80;106;12707;0.524655198373
0.02;85;293;11825;0.503538487867
0.02;85;115;11825;0.523032774363
0.02;85;114;11825;0.523145130659
0.02;90;302;11025;0.502611809227
0.02;90;113;11025;0.523242205296
0.02;90;112;11025;0.523416698457
0.02;95;286;10268;0.501098926618
0.02;95;112;10268;0.523665976531
0.02;95;110;10268;0.523747397095
0.02;100;271;9602;0.502040936783
0.02;100;106;9602;0.524314559024
0.02;100;104;9602;0.524378113687
0.02;105;247;9034;0.501556550139
0.02;105;96;9034;0.524193873809
0.02;105;93;9034;0.524706192027
0.02;110;233;8554;0.50309052358
0.02;110;82;8554;0.524984214595
0.02;110;80;8554;0.525527090466
0.02;115;212;8087;0.51217018953
0.02;115;73;8087;0.527540817787
0.02;115;72;8087;0.528157026585
0.02;120;200;7675;0.515001964336
0.02;120;70;7675;0.527876130866
0.02;120;69;7675;0.528481572907
0.02;125;204;7297;0.506383937584
0.02;125;74;7297;0.526400467433
0.02;125;72;7297;0.526812610364
0.02;130;193;6984;0.516319342164
0.02;130;76;6984;0.529301657371
0.02;130;75;6984;0.529512372396
0.02;135;194;6674;0.507793292123
0.02;135;77;6674;0.527961701124
0.02;135;75;6674;0.528126345985
0.02;140;190;6385;0.508690992216
0.02;140;73;6385;0.528462873496
0.02;140;71;6385;0.528685435404
0.02;145;185;6113;0.508486237
0.02;145;70;6113;0.529160319453
0.02;145;68;6113;0.529395981683
0.02;150;185;5842;0.509495524119
0.02;150;75;5842;0.529511823178
0.02;150;73;5842;0.529779249197
0.02;155;187;5602;0.51087246593
0.02;155;78;5602;0.529924656845
0.02;155;76;5602;0.53022262354
0.02;160;173;5348;0.508128968268
0.02;160;73;5348;0.531011703705
0.02;160;72;5348;0.531088112146
0.02;165;170;5159;0.50843162991
0.02;165;73;5159;0.531135232543
0.02;165;72;5159;0.53118756222
0.02;170;167;4977;0.508763059332
0.02;170;73;4977;0.532096908564
0.02;170;71;4977;0.532134692575
0.02;175;155;4796;0.508810235954
0.02;175;69;4796;0.531613175658
0.02;175;67;4796;0.531637744472
0.02;180;151;4650;0.509268030005
0.02;180;67;4650;0.532054599801
0.02;180;65;4650;0.532089276033
0.02;185;147;4494;0.509961925946
0.02;185;66;4494;0.532942522779
0.02;185;64;4494;0.532962956332
0.02;190;145;4333;0.509377778999
0.02;190;63;4333;0.532558691926
0.02;190;61;4333;0.532566063033
0.02;195;138;4175;0.510973254996
0.02;195;60;4175;0.533409526424
0.02;195;59;4175;0.533414503135
0.02;200;137;4061;0.511423631576
0.02;200;60;4061;0.534295138607
0.02;200;59;4061;0.534299113577
0.025;10;450;57842;0.503721767848
0.025;10;105;57842;0.524884736601
0.025;10;104;57842;0.524885207004
0.025;15;692;52461;0.50695704606
0.025;15;201;52461;0.532214148621
0.025;15;200;52461;0.532216963958
0.025;20;838;48607;0.512401713281
0.025;20;267;48607;0.53766069962
0.025;20;266;48607;0.537661037868
0.025;25;827;43083;0.522830189418
0.025;25;274;43083;0.545646091291
0.025;25;273;43083;0.545677808282
0.025;30;765;35930;0.522006231751
0.025;30;263;35930;0.539973088154
0.025;30;260;35930;0.540671332726
0.025;35;690;30084;0.522307221065
0.025;35;246;30084;0.539999821131
0.025;35;243;30084;0.540749417649
0.025;40;585;25522;0.523215762296
0.025;40;217;25522;0.54353350327
0.025;40;212;25522;0.544333455898
0.025;45;544;22094;0.523162459639
0.025;45;207;22094;0.543622654957
0.025;45;199;22094;0.544548298581
0.025;50;496;19449;0.523830120915
0.025;50;195;19449;0.54401457295
0.025;50;192;19449;0.544760777989
0.025;55;464;17287;0.524694320189
0.025;55;180;17287;0.54460575632
0.025;55;179;17287;0.544621666481
0.025;60;416;15531;0.525074416268
0.025;60;168;15531;0.544524104417
0.025;60;164;15531;0.545457162727
0.025;65;400;14059;0.525396089358
0.025;65;160;14059;0.544584450109
0.025;65;157;14059;0.545262350178
0.025;70;368;12817;0.52627307409
0.025;70;146;12817;0.545182039153
0.025;70;143;12817;0.545583026158
0.025;75;338;11752;0.526278303547
0.025;75;132;11752;0.545367692244
0.025;75;127;11752;0.545915628579
0.025;80;333;10883;0.526036749971
0.025;80;136;10883;0.546577866071
0.025;80;132;10883;0.547229407885
0.025;85;331;10104;0.526727854332
0.025;85;136;10104;0.5468150767
0.025;85;133;10104;0.547381672624
0.025;90;326;9413;0.524980718567
0.025;90;125;9413;0.546758129509
0.025;90;124;9413;0.547278797317
0.025;95;313;8746;0.524471715018
0.025;95;121;8746;0.54674992351
0.025;95;120;8746;0.547362230701
0.025;100;290;8183;0.525564315504
0.025;100;114;8183;0.546308867164
0.025;100;112;8183;0.546992714155
0.025;105;270;7690;0.525689716601
0.025;105;110;7690;0.550313350358
0.025;105;109;7690;0.550343023722
0.025;110;258;7272;0.52519326983
0.025;110;97;7272;0.551101848616
0.025;110;96;7272;0.551126100121
0.025;115;244;6868;0.524097463662
0.025;115;93;6868;0.551320661643
0.025;115;92;6868;0.551342754874
0.025;120;224;6507;0.52635659054
0.025;120;86;6507;0.551152308588
0.025;125;218;6165;0.525727185839
0.025;125;86;6165;0.551190118498
0.025;130;202;5885;0.526436870943
0.025;130;88;5885;0.551334735152
0.025;135;195;5612;0.527404404546
0.025;135;82;5612;0.552084898854
0.025;140;194;5377;0.527239074909
0.025;140;77;5377;0.54856846669
0.025;140;76;5377;0.548575088819
0.025;145;200;5143;0.528191724043
0.025;145;77;5143;0.553035096448
0.025;145;76;5143;0.553117829797
0.025;150;201;4923;0.527254052214
0.025;150;84;4923;0.552775412678
0.025;150;83;4923;0.552891249169
0.025;155;197;4710;0.526490984664
